instant,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,dy,pred
12039,2,19,0,1,1,1,0.66,0.69,0.0896,21,396.1923698767739
12040,2,20,0,1,1,1,0.64,0.69,0.1343,21,282.66558962332846
12041,2,21,0,1,1,1,0.62,0.69,0.0896,21,201.89802533677314
12042,2,22,0,1,1,2,0.62,0.73,0.1642,21,130.5642033264235
12043,2,23,0,1,1,1,0.62,0.73,0.2836,21,73.1012253410173
12044,2,0,0,2,1,1,0.58,0.83,0.2537,22,29.60451505857514
12045,2,1,0,2,1,2,0.58,0.83,0.1343,22,15.173834504541826
12046,2,2,0,2,1,2,0.58,0.83,0.1045,22,7.968336768891655
12047,2,3,0,2,1,2,0.58,0.83,0.1045,22,5.177681935715753
12048,2,4,0,2,1,2,0.56,0.88,0.1642,22,5.250149952583819
12049,2,5,0,2,1,3,0.56,0.88,0.194,22,14.241750850666568
12050,2,6,0,2,1,3,0.56,0.88,0.1045,22,53.69970757118307
12051,2,7,0,2,1,3,0.56,0.88,0.1045,22,251.52028792988003
12052,2,8,0,2,1,2,0.56,0.88,0.1343,22,489.4960009319607
12053,2,9,0,2,1,2,0.6,0.83,0.1045,22,235.0036781528634
12054,2,10,0,2,1,2,0.6,0.78,0.0896,22,146.40584897028214
12055,2,11,0,2,1,2,0.6,0.78,0.0,22,148.19377425580086
12056,2,12,0,2,1,2,0.62,0.78,0.1045,22,183.8692878234906
12057,2,13,0,2,1,2,0.64,0.73,0.0,22,183.913293255706
12058,2,14,0,2,1,2,0.64,0.73,0.1045,22,183.913293255706
12059,2,15,0,2,1,1,0.7,0.61,0.0896,22,184.03937389913932
12060,2,16,0,2,1,1,0.68,0.61,0.1045,22,300.1851928720396
12061,2,17,0,2,1,1,0.72,0.54,0.0,22,573.364951240723
12062,2,18,0,2,1,1,0.68,0.61,0.1343,22,573.9380291898281
12063,2,19,0,2,1,1,0.66,0.69,0.2239,22,397.0015634720965
12064,2,20,0,2,1,1,0.64,0.73,0.2537,22,293.1978187216105
12065,2,21,0,2,1,1,0.62,0.78,0.1343,22,226.2163117118209
12066,2,22,0,2,1,1,0.62,0.73,0.0896,22,153.5036097304777
12067,2,23,0,2,1,1,0.62,0.73,0.1045,22,78.35326210758544
12068,2,0,0,3,1,1,0.62,0.78,0.1343,23,33.75567278815872
12069,2,1,0,3,1,1,0.6,0.83,0.1642,23,15.751309858120338
12070,2,2,0,3,1,2,0.6,0.83,0.1642,23,7.952012831670172
12071,2,3,0,3,1,1,0.6,0.78,0.1045,23,5.474179598260482
12072,2,4,0,3,1,3,0.58,0.83,0.194,23,4.725880940783058
12073,2,5,0,3,1,3,0.56,0.88,0.2537,23,15.007584795711482
12074,2,6,0,3,1,1,0.56,0.88,0.1045,23,112.43793577606773
12075,2,7,0,3,1,1,0.58,0.83,0.0,23,316.0718920532655
12076,2,8,0,3,1,1,0.58,0.83,0.0,23,513.0238664257022
12077,2,9,0,3,1,2,0.62,0.78,0.0,23,227.18577249299162
12078,2,10,0,3,1,1,0.62,0.78,0.0896,23,146.46189083016722
12079,2,11,0,3,1,1,0.64,0.73,0.0,23,148.29382154790136
12080,2,12,0,3,1,2,0.66,0.69,0.0896,23,183.913293255706
12081,2,13,0,3,1,2,0.66,0.74,0.1642,23,183.8692878234906
12082,2,14,0,3,1,1,0.68,0.65,0.1343,23,183.913293255706
12083,2,15,0,3,1,2,0.7,0.61,0.0,23,184.03937389913932
12084,2,16,0,3,1,3,0.7,0.61,0.0896,23,270.3469909077499
12085,2,17,0,3,1,3,0.64,0.69,0.1045,23,555.7095084984113
12086,2,18,0,3,1,3,0.64,0.69,0.1045,23,555.3231137946823
12087,2,19,0,3,1,2,0.62,0.83,0.1642,23,308.538502458186
12088,2,20,0,3,1,2,0.62,0.83,0.0896,23,225.10085374895382
12089,2,21,0,3,1,2,0.62,0.83,0.0,23,189.81096762510052
12090,2,22,0,3,1,2,0.62,0.83,0.1642,23,163.35369206631347
12091,2,23,0,3,1,1,0.6,0.83,0.1343,23,93.19197656745604
12092,2,0,0,4,1,1,0.6,0.83,0.0896,24,41.37980196802297
12093,2,1,0,4,1,1,0.6,0.88,0.0896,24,17.8603733488527
12094,2,2,0,4,1,1,0.6,0.88,0.0,24,8.381062062574136
12095,2,3,0,4,1,2,0.6,0.88,0.1045,24,5.565307050765244
12096,2,4,0,4,1,2,0.6,0.88,0.1642,24,5.6358965620417525
12097,2,5,0,4,1,2,0.6,0.88,0.1642,24,22.7373239358851
12098,2,6,0,4,1,2,0.6,0.88,0.1642,24,111.30303989240127
12099,2,7,0,4,1,1,0.6,0.83,0.1045,24,315.55671960933086
12100,2,8,0,4,1,1,0.62,0.73,0.1343,24,493.51685536344655
12101,2,9,0,4,1,1,0.62,0.73,0.1642,24,226.09540181559015
12102,2,10,0,4,1,1,0.64,0.65,0.1343,24,146.55540555635537
12103,2,11,0,4,1,1,0.66,0.65,0.1343,24,148.34333084187406
12104,2,12,0,4,1,1,0.7,0.58,0.1045,24,184.03937389913932
12105,2,13,0,4,1,1,0.72,0.54,0.1642,24,184.07370709282736
12106,2,14,0,4,1,1,0.74,0.55,0.2239,24,184.03177353692269
12107,2,15,0,4,1,1,0.74,0.55,0.2537,24,184.03177353692269
12108,2,16,0,4,1,1,0.74,0.55,0.3582,24,295.9435572397088
12109,2,17,0,4,1,1,0.74,0.55,0.2836,24,558.4310147721204
12110,2,18,0,4,1,1,0.72,0.54,0.3284,24,568.7488189810014
12111,2,19,0,4,1,1,0.7,0.61,0.2985,24,400.0197246924904
12112,2,20,0,4,1,2,0.66,0.69,0.2836,24,289.92965742091764
12113,2,21,0,4,1,3,0.64,0.78,0.1642,24,160.89612047712274
12114,2,22,0,4,1,2,0.64,0.78,0.1045,24,176.1247230199109
12115,2,23,0,4,1,2,0.64,0.78,0.1343,24,108.87614968665692
12116,2,0,0,5,1,1,0.62,0.83,0.1343,25,60.80301799719035
12117,2,1,0,5,1,1,0.62,0.83,0.0896,25,32.22628325433401
12118,2,2,0,5,1,2,0.62,0.83,0.0,25,16.140698867408123
12119,2,3,0,5,1,2,0.62,0.88,0.1045,25,6.6790767991902245
12120,2,4,0,5,1,2,0.62,0.88,0.0,25,6.848945073573296
12121,2,5,0,5,1,2,0.62,0.88,0.0896,25,22.761571246215542
12122,2,6,0,5,1,2,0.62,0.88,0.1045,25,105.73759502678983
12123,2,7,0,5,1,2,0.62,0.88,0.1642,25,293.8873363673244
12124,2,8,0,5,1,2,0.64,0.89,0.1045,25,501.2880336762216
12125,2,9,0,5,1,2,0.64,0.89,0.1343,25,228.04323485674652
12126,2,10,0,5,1,1,0.68,0.79,0.1642,25,201.19456970670333
12127,2,11,0,5,1,1,0.68,0.79,0.1343,25,202.37278141972018
12128,2,12,0,5,1,1,0.72,0.66,0.1045,25,236.0138946128857
12129,2,13,0,5,1,1,0.74,0.62,0.1343,25,235.35078976314523
12130,2,14,0,5,1,1,0.74,0.58,0.1343,25,235.4123228733532
12131,2,15,0,5,1,1,0.76,0.62,0.194,25,235.39120438285522
12132,2,16,0,5,1,1,0.78,0.52,0.2239,25,361.4620901221502
12133,2,17,0,5,1,1,0.76,0.62,0.2836,25,554.0306651184844
12134,2,18,0,5,1,1,0.76,0.62,0.194,25,555.873684724042
12135,2,19,0,5,1,1,0.74,0.62,0.2537,25,393.6461432890037
12136,2,20,0,5,1,1,0.7,0.65,0.1642,25,276.6367793969617
12137,2,21,0,5,1,1,0.7,0.65,0.1343,25,222.2423344482478
12138,2,22,0,5,1,1,0.66,0.74,0.1045,25,179.73970800032393
12139,2,23,0,5,1,1,0.66,0.78,0.2239,25,143.53947073330758
12140,2,0,0,6,0,1,0.64,0.83,0.1642,26,115.70446883963614
12141,2,1,0,6,0,1,0.64,0.83,0.1343,26,85.81804941190218
12142,2,2,0,6,0,1,0.64,0.89,0.1343,26,62.415096381740355
12143,2,3,0,6,0,1,0.62,0.88,0.1045,26,30.292849493328344
12144,2,4,0,6,0,1,0.62,0.88,0.1343,26,8.530353464610625
12145,2,5,0,6,0,1,0.62,0.83,0.2537,26,7.576271198943458
12146,2,6,0,6,0,1,0.62,0.88,0.194,26,21.799482642960566
12147,2,7,0,6,0,2,0.62,0.88,0.1642,26,48.28472265061775
12148,2,8,0,6,0,1,0.64,0.78,0.1343,26,125.95144220885831
12149,2,9,0,6,0,1,0.64,0.83,0.194,26,202.8083897354229
12150,2,10,0,6,0,1,0.68,0.79,0.2239,26,290.2647250645632
12151,2,11,0,6,0,1,0.7,0.74,0.194,26,398.30369588701285
12152,2,12,0,6,0,1,0.74,0.66,0.2239,26,436.4591436134639
12153,2,13,0,6,0,1,0.76,0.66,0.194,26,437.1406422566705
12154,2,14,0,6,0,1,0.76,0.66,0.2239,26,436.8225462862723
12155,2,15,0,6,0,1,0.76,0.66,0.2836,26,436.5640771196056
12156,2,16,0,6,0,1,0.78,0.55,0.2537,26,431.0872086756898
12157,2,17,0,6,0,2,0.78,0.52,0.2537,26,399.1254489277306
12158,2,18,0,6,0,2,0.76,0.52,0.194,26,395.2031429780698
12159,2,19,0,6,0,2,0.74,0.66,0.2239,26,328.4542961911905
12160,2,20,0,6,0,2,0.74,0.55,0.194,26,258.0556648239473
12161,2,21,0,6,0,2,0.72,0.62,0.194,26,214.0796052022052
12162,2,22,0,6,0,1,0.7,0.74,0.2537,26,181.64613776120703
12163,2,23,0,6,0,1,0.7,0.74,0.2537,26,142.93853201457642
12164,2,0,0,0,0,2,0.68,0.69,0.1642,27,114.50336049920259
12165,2,1,0,0,0,1,0.66,0.74,0.2239,27,86.67187508462234
12166,2,2,0,0,0,1,0.64,0.73,0.2239,27,71.62740112534316
12167,2,3,0,0,0,1,0.64,0.73,0.1642,27,35.66195863098151
12168,2,4,0,0,0,1,0.62,0.83,0.194,27,7.98715395268195
12169,2,5,0,0,0,1,0.62,0.83,0.194,27,8.084289511827858
12170,2,6,0,0,0,1,0.62,0.83,0.1642,27,18.067383373382942
12171,2,7,0,0,0,1,0.62,0.88,0.1642,27,44.74341558869631
12172,2,8,0,0,0,1,0.64,0.83,0.194,27,96.34101836327
12173,2,9,0,0,0,1,0.66,0.83,0.2239,27,176.26482891825324
12174,2,10,0,0,0,1,0.68,0.74,0.2537,27,343.3802663764008
12175,2,11,0,0,0,1,0.72,0.66,0.2239,27,399.5327896122998
12176,2,12,0,0,0,1,0.74,0.66,0.2537,27,432.7670148210486
12177,2,13,0,0,0,1,0.76,0.58,0.194,27,435.65251625913044
12178,2,14,0,0,0,1,0.76,0.58,0.2537,27,435.55714630521334
12179,2,15,0,0,0,1,0.78,0.52,0.2836,27,436.3223879899628
12180,2,16,0,0,0,1,0.78,0.52,0.2836,27,423.863498573731
12181,2,17,0,0,0,1,0.78,0.49,0.2985,27,398.5734057743303
12182,2,18,0,0,0,1,0.76,0.58,0.2985,27,389.15219325980354
12183,2,19,0,0,0,1,0.76,0.58,0.194,27,329.19082686105304
12184,2,20,0,0,0,1,0.74,0.55,0.1642,27,253.42453638607589
12185,2,21,0,0,0,3,0.66,0.69,0.4179,27,144.4448638962572
12186,2,22,0,0,0,3,0.62,0.83,0.0,27,99.33447141821304
12187,2,23,0,0,0,3,0.62,0.83,0.1343,27,47.350020025834674
12188,2,0,1,1,0,1,0.62,0.83,0.2239,28,105.50453992443931
12189,2,1,1,1,0,2,0.62,0.78,0.2985,28,63.64242382693748
12190,2,2,1,1,0,1,0.6,0.83,0.2239,28,33.35789618292699
12191,2,3,1,1,0,1,0.62,0.73,0.1642,28,23.78036243457575
12192,2,4,1,1,0,1,0.6,0.78,0.1343,28,10.950585300629367
12193,2,5,1,1,0,1,0.6,0.78,0.1343,28,11.978588303167063
12194,2,6,1,1,0,1,0.62,0.73,0.1642,28,60.35078078401817
12195,2,7,1,1,0,1,0.62,0.78,0.1045,28,113.21897511898163
12196,2,8,1,1,0,1,0.66,0.69,0.0,28,175.19039674064217
12197,2,9,1,1,0,1,0.7,0.61,0.0,28,191.1277181596281
12198,2,10,1,1,0,1,0.7,0.61,0.0,28,304.2179218703393
12199,2,11,1,1,0,1,0.72,0.66,0.1343,28,337.97100953983005
12200,2,12,1,1,0,1,0.76,0.62,0.1343,28,364.87253013577225
12201,2,13,1,1,0,1,0.8,0.63,0.2836,28,362.1098173709455
12202,2,14,1,1,0,1,0.8,0.63,0.2836,28,362.1098173709455
12203,2,15,1,1,0,1,0.82,0.56,0.2985,28,361.8678036545373
12204,2,16,1,1,0,1,0.82,0.56,0.3284,28,404.09295739273097
12205,2,17,1,1,0,1,0.82,0.56,0.2985,28,404.5231415037405
12206,2,18,1,1,0,1,0.8,0.59,0.2985,28,398.7557728169349
12207,2,19,1,1,0,1,0.8,0.55,0.2985,28,351.04657977364275
12208,2,20,1,1,0,1,0.78,0.62,0.2985,28,268.6724286106264
12209,2,21,1,1,0,1,0.76,0.66,0.2836,28,239.86676923434186
12210,2,22,1,1,0,1,0.74,0.7,0.1642,28,172.55654728591998
12211,2,23,1,1,0,1,0.72,0.74,0.1642,28,86.83416564777741
12212,2,0,0,2,1,1,0.7,0.79,0.194,29,33.222841509905045
12213,2,1,0,2,1,1,0.7,0.79,0.194,29,17.855819464131034
12214,2,2,0,2,1,1,0.68,0.83,0.1343,29,8.818378804416556
12215,2,3,0,2,1,1,0.68,0.79,0.2836,29,5.694885953867633
12216,2,4,0,2,1,1,0.66,0.78,0.2239,29,5.593178977128496
12217,2,5,0,2,1,1,0.66,0.78,0.2239,29,24.787821392934536
12218,2,6,0,2,1,1,0.66,0.78,0.2239,29,108.94791540529712
12219,2,7,0,2,1,1,0.66,0.78,0.2239,29,312.79582477329643
12220,2,8,0,2,1,1,0.7,0.74,0.194,29,474.295383442558
12221,2,9,0,2,1,1,0.72,0.7,0.2537,29,224.21599549916627
12222,2,10,0,2,1,1,0.74,0.7,0.2985,29,146.46396270647793
12223,2,11,0,2,1,1,0.76,0.62,0.2985,29,148.27775615090425
12224,2,12,0,2,1,1,0.8,0.55,0.3284,29,183.73747529536533
12225,2,13,0,2,1,1,0.82,0.52,0.3881,29,183.71403597178212
12226,2,14,0,2,1,1,0.82,0.52,0.4179,29,183.71403597178212
12227,2,15,0,2,1,1,0.82,0.49,0.3881,29,183.7228868727282
12228,2,16,0,2,1,1,0.82,0.49,0.4925,29,293.98589435235095
12229,2,17,0,2,1,1,0.82,0.46,0.4179,29,549.7670334166894
12230,2,18,0,2,1,1,0.8,0.49,0.4925,29,549.9612343942335
12231,2,19,0,2,1,1,0.78,0.52,0.3582,29,396.34997053187317
12232,2,20,0,2,1,3,0.7,0.61,0.5224,29,240.01601869452608
12233,2,21,0,2,1,3,0.6,0.88,0.4478,29,120.05948791857641
12234,2,22,0,2,1,2,0.62,0.88,0.0896,29,135.3175321899571
12235,2,23,0,2,1,3,0.62,0.94,0.0,29,50.97467465414576
12236,2,0,0,3,1,3,0.64,0.89,0.1045,30,29.844333709075766
12237,2,1,0,3,1,3,0.64,0.89,0.194,30,16.339014340782263
12238,2,2,0,3,1,3,0.62,0.94,0.0896,30,7.566647741855685
12239,2,3,0,3,1,3,0.62,0.88,0.1343,30,4.6611312359794494
12240,2,4,0,3,1,2,0.62,0.88,0.1343,30,5.4532241822539875
12241,2,5,0,3,1,2,0.62,0.78,0.1343,30,21.912821396185986
12242,2,6,0,3,1,2,0.6,0.78,0.1045,30,111.47255298737505
12243,2,7,0,3,1,3,0.6,0.78,0.194,30,244.24475912391546
12244,2,8,0,3,1,2,0.6,0.73,0.1642,30,481.7032982027743
12245,2,9,0,3,1,2,0.62,0.69,0.194,30,225.93169508770663
12246,2,10,0,3,1,2,0.62,0.69,0.2836,30,146.44985440249752
12247,2,11,0,3,1,2,0.66,0.65,0.194,30,148.26514259124204
12248,2,12,0,3,1,1,0.7,0.54,0.0,30,184.07370709282736
12249,2,13,0,3,1,1,0.7,0.51,0.0,30,184.07370709282736
12250,2,14,0,3,1,1,0.72,0.42,0.1343,30,184.4401742437641
12251,2,15,0,3,1,1,0.72,0.51,0.1343,30,184.07370709282736
12252,2,16,0,3,1,1,0.72,0.51,0.1642,30,300.24000798256725
12253,2,17,0,3,1,1,0.74,0.48,0.0896,30,562.0091527943123
12254,2,18,0,3,1,1,0.74,0.48,0.1642,30,561.5736837577464
12255,2,19,0,3,1,1,0.72,0.54,0.1642,30,402.87482678657426
12256,2,20,0,3,1,2,0.54,0.6,0.1343,30,265.08541386175136
12257,2,21,0,3,1,1,0.68,0.57,0.1045,30,224.56243569555173
12258,2,22,0,3,1,1,0.66,0.69,0.1045,30,172.40315985977162
12259,2,23,0,3,1,1,0.66,0.65,0.1045,30,96.01493671218
12260,2,0,0,4,1,1,0.64,0.69,0.1343,31,45.988095658908776
12261,2,1,0,4,1,1,0.64,0.69,0.0896,31,21.312286658639497
12262,2,2,0,4,1,1,0.64,0.65,0.0896,31,9.153598769552486
12263,2,3,0,4,1,1,0.62,0.69,0.0896,31,5.735612878148088
12264,2,4,0,4,1,1,0.62,0.69,0.0,31,5.808036998566696
12265,2,5,0,4,1,1,0.62,0.69,0.2537,31,25.25454692051908
12266,2,6,0,4,1,1,0.6,0.73,0.2239,31,111.60602137985863
12267,2,7,0,4,1,1,0.6,0.64,0.2836,31,316.2140344202387
12268,2,8,0,4,1,1,0.62,0.57,0.2537,31,480.4915236209937
12269,2,9,0,4,1,1,0.66,0.47,0.2537,31,224.20001801232462
12270,2,10,0,4,1,1,0.7,0.39,0.3881,31,148.19036274446333
12271,2,11,0,4,1,1,0.72,0.37,0.2836,31,150.28858114478618
12272,2,12,0,4,1,1,0.72,0.37,0.194,31,184.76164280462083
12273,2,13,0,4,1,1,0.74,0.35,0.1343,31,184.5854545280281
12274,2,14,0,4,1,1,0.76,0.31,0.194,31,184.58223798308322
12275,2,15,0,4,1,1,0.76,0.33,0.2985,31,184.60233691838212
12276,2,16,0,4,1,1,0.76,0.33,0.2836,31,298.037035556151
12277,2,17,0,4,1,1,0.76,0.31,0.1642,31,560.3331764577446
12278,2,18,0,4,1,1,0.74,0.3,0.194,31,562.5094722598955
12279,2,19,0,4,1,1,0.72,0.34,0.1642,31,404.08994033269624
12280,2,20,0,4,1,1,0.68,0.44,0.1642,31,297.23539206144625
12281,2,21,0,4,1,1,0.68,0.44,0.1642,31,227.3843882450725
12282,2,22,0,4,1,1,0.66,0.5,0.1642,31,178.5799949868665
12283,2,23,0,4,1,1,0.66,0.54,0.2239,31,109.87976113058762
12284,2,0,0,5,1,1,0.66,0.5,0.2537,1,63.45453180164699
12285,2,1,0,5,1,1,0.64,0.53,0.2239,1,30.230174134782107
12286,2,2,0,5,1,1,0.64,0.57,0.2239,1,16.36430845382022
12287,2,3,0,5,1,2,0.62,0.73,0.0896,1,6.801652122649619
12288,2,4,0,5,1,2,0.62,0.73,0.0896,1,6.708657490852941
12289,2,5,0,5,1,2,0.62,0.78,0.0896,1,22.01370388772315
12290,2,6,0,5,1,3,0.62,0.88,0.1343,1,77.55337480726944
12291,2,7,0,5,1,2,0.64,0.89,0.194,1,292.98954794765706
12292,2,8,0,5,1,2,0.64,0.89,0.194,1,492.22637975217634
12293,2,9,0,5,1,2,0.64,0.83,0.2239,1,227.72371054646177
12294,2,10,0,5,1,2,0.66,0.78,0.2836,1,201.61238821692712
12295,2,11,0,5,1,2,0.7,0.74,0.2836,1,202.74582469316874
12296,2,12,0,5,1,2,0.7,0.74,0.3582,1,235.3697874014775
12297,2,13,0,5,1,1,0.72,0.7,0.2985,1,235.80247451893516
12298,2,14,0,5,1,3,0.72,0.66,0.2836,1,165.21704656341052
12299,2,15,0,5,1,3,0.72,0.66,0.2836,1,166.8102593829594
12300,2,16,0,5,1,3,0.74,0.58,0.4478,1,287.40007889189144
12301,2,17,0,5,1,3,0.7,0.7,0.2537,1,551.6695511687238
12302,2,18,0,5,1,3,0.62,0.88,0.3582,1,306.25811705667024
12303,2,19,0,5,1,3,0.62,0.88,0.3582,1,235.28703845619114
12304,2,20,0,5,1,3,0.62,0.94,0.2537,1,120.75424473211547
12305,2,21,0,5,1,3,0.64,0.78,0.2537,1,182.4692625744652
12306,2,22,0,5,1,3,0.6,0.88,0.1343,1,82.79486462556977
12307,2,23,0,5,1,3,0.6,0.88,0.1343,1,132.95029294784325
12308,2,0,0,6,0,2,0.56,0.83,0.1343,2,116.66296230145792
12309,2,1,0,6,0,2,0.56,0.83,0.1045,2,92.9243188822484
12310,2,2,0,6,0,2,0.54,0.88,0.0,2,60.862630304007666
12311,2,3,0,6,0,1,0.56,0.73,0.2537,2,26.31338313064425
12312,2,4,0,6,0,1,0.54,0.68,0.2836,2,9.51694201694546
12313,2,5,0,6,0,1,0.5,0.72,0.194,2,9.235831515086048
12314,2,6,0,6,0,2,0.5,0.77,0.194,2,29.19573646417518
12315,2,7,0,6,0,1,0.52,0.72,0.1045,2,58.62587019354015
12316,2,8,0,6,0,1,0.54,0.64,0.1642,2,134.97942409994994
12317,2,9,0,6,0,1,0.56,0.6,0.2537,2,218.3235089962284
12318,2,10,0,6,0,1,0.6,0.53,0.2985,2,364.97640923744393
12319,2,11,0,6,0,1,0.58,0.46,0.2836,2,411.27589308225345
12320,2,12,0,6,0,1,0.62,0.43,0.3582,2,452.46644014910026
12321,2,13,0,6,0,1,0.62,0.41,0.2537,2,454.1736184760282
12322,2,14,0,6,0,1,0.64,0.38,0.2985,2,455.01944520924343
12323,2,15,0,6,0,1,0.64,0.38,0.2537,2,455.5547957817456
12324,2,16,0,6,0,1,0.64,0.38,0.2537,2,445.9300332619033
12325,2,17,0,6,0,1,0.64,0.36,0.0,2,416.7937742009267
12326,2,18,0,6,0,1,0.64,0.36,0.0,2,413.4156300425269
12327,2,19,0,6,0,1,0.64,0.36,0.1642,2,352.8999937208642
12328,2,20,0,6,0,1,0.62,0.35,0.2836,2,275.0599163012687
12329,2,21,0,6,0,1,0.6,0.4,0.1045,2,234.90591927575977
12330,2,22,0,6,0,1,0.58,0.46,0.1343,2,206.45337452855625
12331,2,23,0,6,0,1,0.56,0.52,0.1045,2,167.649201437208
12332,2,0,0,0,0,1,0.54,0.6,0.1642,3,121.5527644970341
12333,2,1,0,0,0,1,0.54,0.56,0.1343,3,95.70051003517626
12334,2,2,0,0,0,1,0.52,0.59,0.1045,3,66.83438003225504
12335,2,3,0,0,0,1,0.52,0.63,0.1045,3,32.341702571391146
12336,2,4,0,0,0,1,0.5,0.72,0.0896,3,10.577457474695974
12337,2,5,0,0,0,1,0.5,0.68,0.0,3,10.813440913086712
12338,2,6,0,0,0,1,0.46,0.82,0.1045,3,12.82054665215089
12339,2,7,0,0,0,1,0.5,0.68,0.1045,3,47.664876347082505
12340,2,8,0,0,0,1,0.54,0.6,0.0896,3,102.10228596700243
12341,2,9,0,0,0,1,0.6,0.46,0.194,3,195.39529421727693
12342,2,10,0,0,0,1,0.62,0.43,0.2239,3,364.5225555435263
12343,2,11,0,0,0,1,0.64,0.41,0.2537,3,411.6540350776998
12344,2,12,0,0,0,1,0.66,0.39,0.2985,3,450.5073274390541
12345,2,13,0,0,0,1,0.68,0.36,0.2836,3,454.4647487036495
12346,2,14,0,0,0,1,0.68,0.36,0.3284,3,454.0777665135003
12347,2,15,0,0,0,1,0.7,0.34,0.0,3,454.5005159666577
12348,2,16,0,0,0,1,0.7,0.34,0.2985,3,437.90207273327604
12349,2,17,0,0,0,1,0.7,0.34,0.2537,3,416.98725170318517
12350,2,18,0,0,0,1,0.7,0.34,0.2537,3,413.6091075447854
12351,2,19,0,0,0,1,0.68,0.34,0.2836,3,341.9541803178959
12352,2,20,0,0,0,1,0.66,0.39,0.194,3,266.3230967499795
12353,2,21,0,0,0,1,0.62,0.43,0.1642,3,191.35880059645837
12354,2,22,0,0,0,1,0.62,0.5,0.3881,3,125.22426590262062
12355,2,23,0,0,0,1,0.58,0.53,0.1045,3,89.12263269396291
12356,2,0,0,1,1,1,0.58,0.53,0.0,4,34.88306054103717
12357,2,1,0,1,1,3,0.56,0.6,0.1642,4,16.266048714331113
12358,2,2,0,1,1,1,0.56,0.6,0.2239,4,8.900901582220085
12359,2,3,0,1,1,2,0.56,0.6,0.1642,4,4.927004690480309
12360,2,4,0,1,1,1,0.54,0.64,0.0896,4,5.191861273940752
12361,2,5,0,1,1,1,0.52,0.68,0.0,4,24.438644306675265
12362,2,6,0,1,1,1,0.52,0.68,0.0,4,104.36776348446466
12363,2,7,0,1,1,1,0.56,0.6,0.2239,4,310.22317860856253
12364,2,8,0,1,1,1,0.6,0.49,0.2239,4,458.9279458177833
12365,2,9,0,1,1,1,0.62,0.43,0.2836,4,225.35602228678175
12366,2,10,0,1,1,1,0.64,0.41,0.4627,4,147.64434851206553
12367,2,11,0,1,1,1,0.64,0.38,0.4925,4,150.26643475403924
