instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,dy,pred
12081,2,1,5,13,0,3,1,2,0.66,0.6212,0.74,0.1642,23,259.27773599169495
12082,2,1,5,14,0,3,1,1,0.68,0.6364,0.65,0.1343,23,289.7974009038917
12083,2,1,5,15,0,3,1,2,0.7,0.6515,0.61,0.0,23,298.2286825600597
12084,2,1,5,16,0,3,1,3,0.7,0.6515,0.61,0.0896,23,300.3336791286263
12085,2,1,5,17,0,3,1,3,0.64,0.6061,0.69,0.1045,23,280.4925176211658
12086,2,1,5,18,0,3,1,3,0.64,0.6061,0.69,0.1045,23,287.00775875323154
12087,2,1,5,19,0,3,1,2,0.62,0.5758,0.83,0.1642,23,271.241441926536
12088,2,1,5,20,0,3,1,2,0.62,0.5758,0.83,0.0896,23,276.2416988924308
12089,2,1,5,21,0,3,1,2,0.62,0.5758,0.83,0.0,23,280.93733437719186
12090,2,1,5,22,0,3,1,2,0.62,0.5758,0.83,0.1642,23,290.78716532273324
12091,2,1,5,23,0,3,1,1,0.6,0.5606,0.83,0.1343,23,298.01258799440177
12092,2,1,5,0,0,4,1,1,0.6,0.5606,0.83,0.0896,24,148.75186933870137
12093,2,1,5,1,0,4,1,1,0.6,0.5455,0.88,0.0896,24,143.92509452801065
12094,2,1,5,2,0,4,1,1,0.6,0.5455,0.88,0.0,24,148.62073001277176
12095,2,1,5,3,0,4,1,2,0.6,0.5455,0.88,0.1045,24,151.02831725259765
12096,2,1,5,4,0,4,1,2,0.6,0.5455,0.88,0.1642,24,158.755951879575
12097,2,1,5,5,0,4,1,2,0.6,0.5455,0.88,0.1642,24,165.27119301164075
12098,2,1,5,6,0,4,1,2,0.6,0.5455,0.88,0.1642,24,171.78643414370643
12099,2,1,5,7,0,4,1,1,0.6,0.5606,0.83,0.1045,24,194.66114793442065
12100,2,1,5,8,0,4,1,1,0.62,0.5909,0.73,0.1343,24,225.51900353885404
12101,2,1,5,9,0,4,1,1,0.62,0.5909,0.73,0.1642,24,232.64145682331267
12102,2,1,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,24,255.43467939104872
12103,2,1,5,11,0,4,1,1,0.66,0.6212,0.65,0.1343,24,266.8368203844756
12104,2,1,5,12,0,4,1,1,0.7,0.6515,0.58,0.1045,24,293.02238148979006
12105,2,1,5,13,0,4,1,1,0.72,0.6667,0.54,0.1642,24,311.648841170203
12106,2,1,5,14,0,4,1,1,0.74,0.6818,0.55,0.2239,24,322.76678352488454
12107,2,1,5,15,0,4,1,1,0.74,0.6818,0.55,0.2537,24,329.88720599946896
12108,2,1,5,16,0,4,1,1,0.74,0.6818,0.55,0.3582,24,338.52464345009867
12109,2,1,5,17,0,4,1,1,0.74,0.6818,0.55,0.2836,24,343.52490041599333
12110,2,1,5,18,0,4,1,1,0.72,0.6667,0.54,0.3284,24,347.5596366440071
12111,2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.2985,24,338.0790641692736
12112,2,1,5,20,0,4,1,2,0.66,0.6212,0.69,0.2836,24,316.2897709698518
12113,2,1,5,21,0,4,1,3,0.64,0.5909,0.78,0.1642,24,291.90953390509844
12114,2,1,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,24,303.44223175305626
12115,2,1,5,23,0,4,1,2,0.64,0.5909,0.78,0.1343,24,310.5626542276407
12116,2,1,5,0,0,5,1,1,0.62,0.5758,0.83,0.1343,25,156.06969726687637
12117,2,1,5,1,0,5,1,1,0.62,0.5758,0.83,0.0896,25,161.67716638516404
12118,2,1,5,2,0,5,1,2,0.62,0.5758,0.83,0.0,25,160.1429516591214
12119,2,1,5,3,0,5,1,2,0.62,0.5606,0.88,0.1045,25,157.4128165095478
12120,2,1,5,4,0,5,1,2,0.62,0.5606,0.88,0.0,25,161.80586132304958
12121,2,1,5,5,0,5,1,2,0.62,0.5606,0.88,0.0896,25,170.1407081024199
12122,2,1,5,6,0,5,1,2,0.62,0.5606,0.88,0.1045,25,176.95853990574497
12123,2,1,5,7,0,5,1,2,0.62,0.5606,0.88,0.1642,25,184.68617453272233
12124,2,1,5,8,0,5,1,2,0.64,0.5758,0.89,0.1045,25,193.40488655502745
12125,2,1,5,9,0,5,1,2,0.64,0.5758,0.89,0.1343,25,200.52530902961186
12126,2,1,5,10,0,5,1,1,0.68,0.6364,0.79,0.1642,25,246.38655744800306
12127,2,1,5,11,0,5,1,1,0.68,0.6364,0.79,0.1343,25,252.2945864276758
12128,2,1,5,12,0,5,1,1,0.72,0.6818,0.66,0.1045,25,291.31875560940364
12129,2,1,5,13,0,5,1,1,0.74,0.6818,0.62,0.1343,25,305.453391205505
12130,2,1,5,14,0,5,1,1,0.74,0.6818,0.58,0.1343,25,317.9550008721983
12131,2,1,5,15,0,5,1,1,0.76,0.7121,0.62,0.194,25,328.4677787578279
12132,2,1,5,16,0,5,1,1,0.78,0.7121,0.52,0.2239,25,351.58399796574497
12133,2,1,5,17,0,5,1,1,0.76,0.7121,0.62,0.2836,25,343.3178666692638
12134,2,1,5,18,0,5,1,1,0.76,0.7121,0.62,0.194,25,348.013502154025
12135,2,1,5,19,0,5,1,1,0.74,0.6818,0.62,0.2537,25,346.96962498772257
12136,2,1,5,20,0,5,1,1,0.7,0.6515,0.65,0.1642,25,337.3781585012181
12137,2,1,5,21,0,5,1,1,0.7,0.6515,0.65,0.1343,25,343.2861874808908
12138,2,1,5,22,0,5,1,1,0.66,0.6212,0.74,0.1045,25,325.9275616873565
12139,2,1,5,23,0,5,1,1,0.66,0.6061,0.78,0.2239,25,325.02216600014594
12140,2,1,5,0,0,6,0,1,0.64,0.5758,0.83,0.1642,26,159.6662285362784
12141,2,1,5,1,0,6,0,1,0.64,0.5758,0.83,0.1343,26,165.57425751595116
12142,2,1,5,2,0,6,0,1,0.64,0.5758,0.89,0.1343,26,163.1099458460754
12143,2,1,5,3,0,6,0,1,0.62,0.5606,0.88,0.1045,26,165.60414125047134
12144,2,1,5,4,0,6,0,1,0.62,0.5606,0.88,0.1343,26,172.72456372505576
12145,2,1,5,5,0,6,0,1,0.62,0.5758,0.83,0.2537,26,193.03216444714803
12146,2,1,5,6,0,6,0,1,0.62,0.5606,0.88,0.194,26,186.96743948409886
12147,2,1,5,7,0,6,0,2,0.62,0.5606,0.88,0.1642,26,186.6476490628421
12148,2,1,5,8,0,6,0,1,0.64,0.5909,0.78,0.1343,26,222.5229613831676
12149,2,1,5,9,0,6,0,1,0.64,0.5758,0.83,0.194,26,218.9085800673885
12150,2,1,5,10,0,6,0,1,0.68,0.6364,0.79,0.2239,26,249.56042547303448
12151,2,1,5,11,0,6,0,1,0.7,0.6667,0.74,0.194,26,271.7229269142716
12152,2,1,5,12,0,6,0,1,0.74,0.697,0.66,0.2239,26,300.6174736481546
12153,2,1,5,13,0,6,0,1,0.76,0.7273,0.66,0.194,26,315.2970144211072
12154,2,1,5,14,0,6,0,1,0.76,0.7273,0.66,0.2239,26,322.4194677055659
12155,2,1,5,15,0,6,0,1,0.76,0.7273,0.66,0.2836,26,330.1471023325432
12156,2,1,5,16,0,6,0,1,0.78,0.7273,0.55,0.2537,26,353.54548936933134
12157,2,1,5,17,0,6,0,2,0.78,0.7121,0.52,0.2537,26,354.43604475964537
12158,2,1,5,18,0,6,0,2,0.76,0.697,0.52,0.194,26,354.8519925354383
12159,2,1,5,19,0,6,0,2,0.74,0.697,0.66,0.2239,26,339.9943113618108
12160,2,1,5,20,0,6,0,2,0.74,0.6818,0.55,0.194,26,358.48024187979104
12161,2,1,5,21,0,6,0,2,0.72,0.6818,0.62,0.194,26,353.49149348936896
12162,2,1,5,22,0,6,0,1,0.7,0.6667,0.74,0.2537,26,344.6029728619061
12163,2,1,5,23,0,6,0,1,0.7,0.6667,0.74,0.2537,26,351.1182139939717
12164,2,1,5,0,0,0,0,2,0.68,0.6364,0.69,0.1642,27,182.56406149697776
12165,2,1,5,1,0,0,0,1,0.66,0.6212,0.74,0.2239,27,184.12612914766638
12166,2,1,5,2,0,0,0,1,0.64,0.6061,0.73,0.2239,27,187.25106255202786
12167,2,1,5,3,0,0,0,1,0.64,0.6061,0.73,0.1642,27,192.55391018918192
12168,2,1,5,4,0,0,0,1,0.62,0.5758,0.83,0.194,27,175.93689953391737
12169,2,1,5,5,0,0,0,1,0.62,0.5758,0.83,0.194,27,182.4521406659831
12170,2,1,5,6,0,0,0,1,0.62,0.5758,0.83,0.1642,27,188.36220045553011
12171,2,1,5,7,0,0,0,1,0.62,0.5606,0.88,0.1642,27,183.50986898739257
12172,2,1,5,8,0,0,0,1,0.64,0.5758,0.83,0.194,27,203.02570864906954
12173,2,1,5,9,0,0,0,1,0.66,0.6061,0.83,0.2239,27,218.919673726808
12174,2,1,5,10,0,0,0,1,0.68,0.6364,0.74,0.2537,27,248.28093719758445
12175,2,1,5,11,0,0,0,1,0.72,0.6818,0.66,0.2239,27,279.8221457110276
12176,2,1,5,12,0,0,0,1,0.74,0.697,0.66,0.2537,27,291.85502470442
12177,2,1,5,13,0,0,0,1,0.76,0.7121,0.58,0.194,27,314.0175092721905
12178,2,1,5,14,0,0,0,1,0.76,0.7121,0.58,0.2537,27,321.74514389916794
12179,2,1,5,15,0,0,0,1,0.78,0.7121,0.52,0.2836,27,338.87499457245724
12180,2,1,5,16,0,0,0,1,0.78,0.7121,0.52,0.2836,27,345.390235704523
12181,2,1,5,17,0,0,0,1,0.78,0.7121,0.49,0.2985,27,356.69784390881875
12182,2,1,5,18,0,0,0,1,0.76,0.7121,0.58,0.2985,27,348.71591125108307
12183,2,1,5,19,0,0,0,1,0.76,0.7121,0.58,0.194,27,353.10895606458473
12184,2,1,5,20,0,0,0,1,0.74,0.6818,0.55,0.1642,27,354.7372804618227
12185,2,1,5,21,0,0,0,3,0.66,0.6212,0.69,0.4179,27,313.39398319165184
12186,2,1,5,22,0,0,0,3,0.62,0.5758,0.83,0.0,27,276.8117683334983
12187,2,1,5,23,0,0,0,3,0.62,0.5758,0.83,0.1343,27,286.0543871266467
12188,2,1,5,0,1,1,0,1,0.62,0.5758,0.83,0.2239,28,130.0605472036363
12189,2,1,5,1,1,1,0,2,0.62,0.5909,0.78,0.2985,28,143.20293823382568
12190,2,1,5,2,1,1,0,1,0.6,0.5606,0.83,0.2239,28,138.17857294895978
12191,2,1,5,3,1,1,0,1,0.62,0.5909,0.73,0.1642,28,167.21885371596278
12192,2,1,5,4,1,1,0,1,0.6,0.5758,0.78,0.1343,28,160.7570221659898
12193,2,1,5,5,1,1,0,1,0.6,0.5758,0.78,0.1343,28,167.27226329805552
12194,2,1,5,6,1,1,0,1,0.62,0.5909,0.73,0.1642,28,186.7645771121599
12195,2,1,5,7,1,1,0,1,0.62,0.5909,0.78,0.1045,28,184.58446408102938
12196,2,1,5,8,1,1,0,1,0.66,0.6212,0.69,0.0,28,212.2461944776125
12197,2,1,5,9,1,1,0,1,0.7,0.6515,0.61,0.0,28,240.53352905910256
12198,2,1,5,10,1,1,0,1,0.7,0.6515,0.61,0.0,28,247.0487701911683
12199,2,1,5,11,1,1,0,1,0.72,0.6818,0.66,0.1343,28,257.5799401093119
12200,2,1,5,12,1,1,0,1,0.76,0.7121,0.62,0.1343,28,279.8809061561743
12201,2,1,5,13,1,1,0,1,0.8,0.7879,0.63,0.2836,28,309.3591898152778
12202,2,1,5,14,1,1,0,1,0.8,0.7879,0.63,0.2836,28,315.8744309473435
12203,2,1,5,15,1,1,0,1,0.82,0.7879,0.56,0.2985,28,334.1962522731561
12204,2,1,5,16,1,1,0,1,0.82,0.7879,0.56,0.3284,28,341.31870555761486
12205,2,1,5,17,1,1,0,1,0.82,0.7879,0.56,0.2985,28,347.2267345372876
12206,2,1,5,18,1,1,0,1,0.8,0.7727,0.59,0.2985,28,344.3397427495746
12207,2,1,5,19,1,1,0,1,0.8,0.7576,0.55,0.2985,28,352.98229714179615
12208,2,1,5,20,1,1,0,1,0.78,0.7424,0.62,0.2985,28,344.1089368194555
12209,2,1,5,21,1,1,0,1,0.76,0.7273,0.66,0.2836,28,339.448318884273
12210,2,1,5,22,1,1,0,1,0.74,0.697,0.7,0.1642,28,328.780892698608
12211,2,1,5,23,1,1,0,1,0.72,0.697,0.74,0.1642,28,328.2819207091567
12212,2,1,5,0,0,2,1,1,0.7,0.6667,0.79,0.194,29,185.73600716365823
12213,2,1,5,1,0,2,1,1,0.7,0.6667,0.79,0.194,29,192.2512482957239
12214,2,1,5,2,0,2,1,1,0.68,0.6364,0.83,0.1343,29,182.7962156049705
12215,2,1,5,3,0,2,1,1,0.68,0.6364,0.79,0.2836,29,198.32982441388012
12216,2,1,5,4,0,2,1,1,0.66,0.6061,0.78,0.2239,29,196.3577523914113
12217,2,1,5,5,0,2,1,1,0.66,0.6061,0.78,0.2239,29,202.872993523477
12218,2,1,5,6,0,2,1,1,0.66,0.6061,0.78,0.2239,29,209.38823465554273
12219,2,1,5,7,0,2,1,1,0.66,0.6061,0.78,0.2239,29,215.90347578760841
12220,2,1,5,8,0,2,1,1,0.7,0.6667,0.74,0.194,29,245.3408968884685
12221,2,1,5,9,0,2,1,1,0.72,0.6818,0.7,0.2537,29,263.9417999114346
12222,2,1,5,10,0,2,1,1,0.74,0.697,0.7,0.2985,29,276.2793003859606
12223,2,1,5,11,0,2,1,1,0.76,0.7121,0.62,0.2985,29,299.6541784486427
12224,2,1,5,12,0,2,1,1,0.8,0.7576,0.55,0.3284,29,330.9367449807876
12225,2,1,5,13,0,2,1,1,0.82,0.7727,0.52,0.3881,29,348.0410558700968
12226,2,1,5,14,0,2,1,1,0.82,0.7727,0.52,0.4179,29,355.1614783446812
12227,2,1,5,15,0,2,1,1,0.82,0.7727,0.49,0.3881,29,365.5613145351989
12228,2,1,5,16,0,2,1,1,0.82,0.7727,0.49,0.4925,29,374.1967211759544
12229,2,1,5,17,0,2,1,1,0.82,0.7576,0.46,0.4179,29,379.82769926834794
12230,2,1,5,18,0,2,1,1,0.8,0.7424,0.49,0.4925,29,378.4556916468059
12231,2,1,5,19,0,2,1,1,0.78,0.7121,0.52,0.3582,29,368.9822669235384
12232,2,1,5,20,0,2,1,3,0.7,0.6515,0.61,0.5224,29,333.3043554842219
12233,2,1,5,21,0,2,1,3,0.6,0.5455,0.88,0.4478,29,265.66734501329006
12234,2,1,5,22,0,2,1,2,0.62,0.5606,0.88,0.0896,29,276.02497524805085
12235,2,1,5,23,0,2,1,3,0.62,0.5455,0.94,0.0,29,261.65215244559477
12236,2,1,5,0,0,3,1,3,0.64,0.5758,0.89,0.1045,30,131.6758745838008
12237,2,1,5,1,0,3,1,3,0.64,0.5758,0.89,0.194,30,140.00869055329684
12238,2,1,5,2,0,3,1,3,0.62,0.5455,0.94,0.0896,30,128.1492937151085
12239,2,1,5,3,0,3,1,3,0.62,0.5606,0.88,0.1343,30,148.4109149373656
12240,2,1,5,4,0,3,1,2,0.62,0.5606,0.88,0.1343,30,161.15600628023503
12241,2,1,5,5,0,3,1,2,0.62,0.5909,0.78,0.1343,30,190.3808359552604
12242,2,1,5,6,0,3,1,2,0.6,0.5758,0.78,0.1045,30,191.40399588344627
12243,2,1,5,7,0,3,1,3,0.6,0.5758,0.78,0.194,30,193.50696164213855
12244,2,1,5,8,0,3,1,2,0.6,0.5909,0.73,0.1642,30,216.98888758524578
12245,2,1,5,9,0,3,1,2,0.62,0.6061,0.69,0.194,30,235.0081351132658
12246,2,1,5,10,0,3,1,2,0.62,0.6061,0.69,0.2836,30,243.34298189263617
12247,2,1,5,11,0,3,1,2,0.66,0.6212,0.65,0.194,30,259.93973036027535
12248,2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.0,30,295.0069203975456
12249,2,1,5,13,0,3,1,1,0.7,0.6515,0.51,0.0,30,306.0119379305821
12250,2,1,5,14,0,3,1,1,0.72,0.6515,0.42,0.1343,30,329.7517305135319
12251,2,1,5,15,0,3,1,1,0.72,0.6667,0.51,0.1343,30,326.6822543746041
12252,2,1,5,16,0,3,1,1,0.72,0.6667,0.51,0.1642,30,333.80470765906284
12253,2,1,5,17,0,3,1,1,0.74,0.6667,0.48,0.0896,30,344.32258561281753
12254,2,1,5,18,0,3,1,1,0.74,0.6667,0.48,0.1642,30,352.35281091105423
12255,2,1,5,19,0,3,1,1,0.72,0.6667,0.54,0.1642,30,348.8606546542892
12256,2,1,5,20,0,3,1,2,0.54,0.5152,0.6,0.1343,30,291.59034330726047
12257,2,1,5,21,0,3,1,1,0.68,0.6364,0.57,0.1045,30,346.3896106423691
12258,2,1,5,22,0,3,1,1,0.66,0.6212,0.69,0.1045,30,330.033289651744
12259,2,1,5,23,0,3,1,1,0.66,0.6212,0.65,0.1045,30,342.5348993184373
12260,2,1,5,0,0,4,1,1,0.64,0.6061,0.69,0.1343,31,183.91386562304484
12261,2,1,5,1,0,4,1,1,0.64,0.6061,0.69,0.0896,31,189.5213347413325
12262,2,1,5,2,0,4,1,1,0.64,0.6061,0.65,0.0896,31,202.02294440802586
12263,2,1,5,3,0,4,1,1,0.62,0.6061,0.69,0.0896,31,201.52397241857466
12264,2,1,5,4,0,4,1,1,0.62,0.6061,0.69,0.0,31,206.21960790333577
12265,2,1,5,5,0,4,1,1,0.62,0.6061,0.69,0.2537,31,217.8870136863074
12266,2,1,5,6,0,4,1,1,0.6,0.5909,0.73,0.2239,31,212.89824842241882
12267,2,1,5,7,0,4,1,1,0.6,0.6061,0.64,0.2836,31,237.979824184227
12268,2,1,5,8,0,4,1,1,0.62,0.6212,0.57,0.2537,31,259.25089796085933
12269,2,1,5,9,0,4,1,1,0.66,0.6212,0.47,0.2537,31,282.7877496032727
12270,2,1,5,10,0,4,1,1,0.7,0.6364,0.39,0.3881,31,309.94543738124787
12271,2,1,5,11,0,4,1,1,0.72,0.6515,0.37,0.2836,31,322.2185663234246
12272,2,1,5,12,0,4,1,1,0.72,0.6515,0.37,0.194,31,326.9142018081857
12273,2,1,5,13,0,4,1,1,0.74,0.6515,0.35,0.1343,31,336.23807829954285
12274,2,1,5,14,0,4,1,1,0.76,0.6667,0.31,0.194,31,354.8645379799559
12275,2,1,5,15,0,4,1,1,0.76,0.6667,0.33,0.2985,31,360.50879116327167
12276,2,1,5,16,0,4,1,1,0.76,0.6667,0.33,0.2836,31,366.7214416240781
12277,2,1,5,17,0,4,1,1,0.76,0.6667,0.31,0.1642,31,373.80508003363434
12278,2,1,5,18,0,4,1,1,0.74,0.6515,0.3,0.194,31,377.5096381230677
12279,2,1,5,19,0,4,1,1,0.72,0.6515,0.34,0.1642,31,376.4054847910977
12280,2,1,5,20,0,4,1,1,0.68,0.6364,0.44,0.1642,31,362.04006013834396
12281,2,1,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,31,368.5553012704096
12282,2,1,5,22,0,4,1,1,0.66,0.6212,0.5,0.1642,31,361.17853308172585
12283,2,1,5,23,0,4,1,1,0.66,0.6212,0.54,0.2239,31,362.9197991740756
12284,2,1,6,0,0,5,1,1,0.66,0.6212,0.5,0.2537,1,224.45301529662692
12285,2,1,6,1,0,5,1,1,0.64,0.6212,0.53,0.2239,1,224.84545409831387
12286,2,1,6,2,0,5,1,1,0.64,0.6212,0.57,0.2239,1,225.37432669575196
12287,2,1,6,3,0,5,1,2,0.62,0.5909,0.73,0.0896,1,190.21535402414088
12288,2,1,6,4,0,5,1,2,0.62,0.5909,0.73,0.0896,1,196.73059515620656
12289,2,1,6,5,0,5,1,2,0.62,0.5909,0.78,0.0896,1,195.7628756199877
12290,2,1,6,6,0,5,1,3,0.62,0.5606,0.88,0.1343,1,174.24645001206807
12291,2,1,6,7,0,5,1,2,0.64,0.5758,0.89,0.194,1,191.61979923500024
12292,2,1,6,8,0,5,1,2,0.64,0.5758,0.89,0.194,1,198.13504036706593
12293,2,1,6,9,0,5,1,2,0.64,0.5758,0.83,0.2239,1,214.2370464534661
12294,2,1,6,10,0,5,1,2,0.66,0.6061,0.78,0.2836,1,238.21915354200783
12295,2,1,6,11,0,5,1,2,0.7,0.6667,0.74,0.2836,1,268.2637867952608
12296,2,1,6,12,0,5,1,2,0.7,0.6667,0.74,0.3582,1,276.2940120934975
